Stage Name,Full Name,Korean Name,K. Stage Name,Date of Birth,Group,Country,Second Country,Height,Weight,Birthplace,Other Group,Former Group,Gender,Position,Instagram,Twitter
Taeyeon,Kim Taeyeon,김태연,태연,3/9/89,SNSD,South Korea,,160,44,Jeonju,"TTS, Oh!GG",,F,"Leader, Main Vocalist",taeyeon_ss,
Sunny,Lee Sunkyu,이순규 ,써니,5/15/89,SNSD,South Korea,,158,43,California,,,F,,svnnynight,
Tiffany,Hwang Miyoung,황미영,티파니,8/1/89,SNSD,South Korea,USA,163,50,San Francisco,TTS,,F,,xolovestephi,
Hyoyeon,Kim Hyoyeon,김효연,효연,9/22/89,SNSD,South Korea,,158,48,Incheon,,,F,,watasiwahyo,
Yuri,Kwon Yuri,권유리 ,유리,12/5/89,SNSD,South Korea,,167,45,Goyang,,,F,,yulyulk,
Sooyoung,Choi Sooyoung,최수영 ,수영 ,2/10/90,SNSD,South Korea,,170,48,Gwangju,,,F,,hotsootuff,
Yoona,Im Yoona,임윤아 ,윤아,5/30/90,SNSD,South Korea,,166,47,Seoul,,,F,,yoona__lim,
Seohyun,Seo Joohyun,서주현 ,서현 ,6/28/91,SNSD,South Korea,,168,48,Seoul,TTS,,F,,seojuhyun_s,
Jessica,Jessica Jung,제시카 정,제시카,4/18/89,,South Korea,,0,0,,,SNSD,F,,jessica.syj,
CL,Lee Chaerin,이채린,씨엘,2/26/91,2NE1,South Korea,,0,0,,,,F,,chaelincl,
Bom,Park Bom,박봄,봄,3/24/84,2NE1,South Korea,,0,0,,,,F,,haroobommi,
Dara,Park Sandara,박산다라,다라,11/12/84,2NE1,South Korea,,0,0,,,,F,,daraxxi,
Minzy,Kong Minji,공민지,민지,1/18/94,2NE1,South Korea,,0,0,,,,F,,,
Hyorin,Kim Hyojung,김효정,효린,12/11/90,SISTAR,South Korea,,0,0,,SISTAR19,,F,,xhyolynx,
Bora,Yoon Bora,윤보라,보라,12/30/89,SISTAR,South Korea,,0,0,,SISTAR19,,F,,borabora_sugar,
Soyou,Kang Jihyun,강지현,소유,2/12/92,SISTAR,South Korea,,0,0,,,,F,,soooo_you,
Dasom,Kim Dasom,김다솜,다솜,5/6/93,SISTAR,South Korea,,0,0,,,,F,,som0506,
Jihyun,Nam Jihyun,남지현,지현,1/9/90,4Minute,South Korea,,167,0,Seoul,,,F,,njh9019,
Gayoon,Heo Gayoon,허가윤,가윤,5/18/90,4Minute,South Korea,,165,0,Seoul,2YOON,,F,,gayoon_heo,
Jiyoon,Jeon Jiyoon,전지윤,지윤,10/15/90,4Minute,South Korea,,165,0,Seoul,2YOON,,F,,jenyerjiyoon,
HyunA,Kim Hyuna,김현아,현아,6/6/92,4Minute,South Korea,,164,0,Jeolla,,Wonder Girls,F,,hyunah_aa,
Sohyun,Kwon Sohyun,권소현,소현,8/30/94,4Minute,South Korea,,162,0,Seoul,,,F,,kkwonsso_94,
Jimin,Shin Jimin,신지민,지민,1/8/91,,South Korea,,160,43,Seoul,AOA BLACK,AOA,F,,jiminbaby_18,
Choa,Park Choa,박초아,초아,3/6/90,,South Korea,,160,42,Incheon,,"AOA, AOA BLACK",F,,queenchoa_,
Yuna,Seo Yuna,서유나,유나,12/30/92,AOA,South Korea,,163,45,Busan,AOA BLACK,,F,,yn_s_1230,
Yookyung,Seo Yookyung,서유경,유경,3/15/93,,South Korea,,167,48,,,AOA BLACK,F,,,
Hyejeong,Shin Hyejeong,신혜정,혜정,8/10/93,AOA,South Korea,,170,48,Seoul,,,F,,dongdong810,
Mina,Kwon Mina,권민아,민아,9/21/93,,South Korea,,159,43,Busan,,"AOA, AOA BLACK",F,,kvwowv,
Seolhyun,Kim Seolhyun,김설현,설현,1/3/95,AOA,South Korea,,167,47,Bucheon,,,F,,sh_9513,
Chanmi,Kim Chanmi,김찬미,찬미,6/19/96,AOA,South Korea,,166,47,Gumi,,,F,,chanmi_96a,
Sojin,Park Sojin,박소진,소진,5/21/86,Girl's Day,South Korea,,167,47,Daegu,,,F,,ssozi_sojin,
Yura,Kim Ahyoung,김아영,유라,11/6/92,Girl's Day,South Korea,,168,49,Ulsan,,,F,,yura_936,
Minah,Bang Minah,방민아,민아,5/13/93,Girl's Day,South Korea,,165,47,Incheon,,,F,,bbang_93,
Hyeri,Lee Hyeri,이혜리,혜리,6/9/94,Girl's Day,South Korea,,167,46,Gwangju,,,F,,hyeri_0609,
Jea,Kim Hyojin,김효진,제아,9/18/81,Brown Eyed Girls,South Korea,,0,0,,,,F,,jeaworld,
Miryo,Jo Mihye,조미혜,미료,11/2/81,Brown Eyed Girls,South Korea,,0,0,,,,F,,miryoakajohoney,
